QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-02184,PUN_PVT_HDPSR_TUSHAR,PUN_PVT_Hadapsar_Tushar,Private,Hadapsar,Pune,Maharashtra,West,18.502708,73.93489
WMQISXM1V1-02149,PUN_PVT_HDPSR_TUSHAR,PUN_PVT_Hadapsar_Tushar,Private,Hadapsar,Pune,Maharashtra,West,18.502708,73.93489
WMQISXM1V1-02306,Chromepet,CHE_PVT_HUB_Chromepet,Hub-Private,Chrompet,Chennai,TamilNadu,South,12.94556,80.15632
WMQISXM1V1-02301,Chromepet,CHE_PVT_HUB_Chromepet,Hub-Private,Chrompet,Chennai,TamilNadu,South,12.94556,80.15632
WMQISXM1V1-02194,Greenways Road,CHE_IRS_Greenways_Road,Indian Railways,Ra Puram,Chennai,TamilNadu,South,13.01885,80.25191
WMQISXM1V1-02195,Greenways Road,CHE_IRS_Greenways_Road,Indian Railways,Ra Puram,Chennai,TamilNadu,South,13.01885,80.25191
WMQISXM1V1-02252,IOC - COCO ITI,BLR_IOC_COCO_ITI,IOCL,Doorvani Nagar,Bengaluru,Karnataka,South,13.0029609,77.6821697
WMQISXM1V1-02253,IOC - COCO ITI,BLR_IOC_COCO_ITI,IOCL,Doorvani Nagar,Bengaluru,Karnataka,South,13.0029609,77.6821697
WMQISXM1V1-02259,IOC - COCO ITI,BLR_IOC_COCO_ITI,IOCL,Doorvani Nagar,Bengaluru,Karnataka,South,13.0029609,77.6821697
WMQISXM1V1-01356,Moolchand,DEL_STQ_Moolchand,STATIQ,Moolchand,Delhi,Delhi,North,28.564235,77.233908
WMQISXM1V1-01357,Moolchand,DEL_STQ_Moolchand,STATIQ,Moolchand,Delhi,Delhi,North,28.564235,77.233908
WMQISXM1V1-02305,KODAMBAKKAM (MKK) Station,CHE_IRS_KODAMBAKKAM (MKK)_Station,Indian Railways,Kodambakkam,Chennai,TamilNadu,South,13.05203023,80.23052148
WMQISXM1V1-02308,KODAMBAKKAM (MKK) Station,CHE_IRS_KODAMBAKKAM (MKK)_Station,Indian Railways,Kodambakkam,Chennai,TamilNadu,South,13.05203023,80.23052148
WMQISXM1V1-01363,Malik Colony,SNP_PVT_Malik_Colony,Private,"Malik Colony,",Sonipat,Haryana,North,29.000126,77.00277
WMQISXM1V1-01364,Malik Colony,SNP_PVT_Malik_Colony,Private,"Malik Colony,",Sonipat,Haryana,North,29.000126,77.00277
WMQISXM1V1-02268,SAGAR X ROAD_3QIS,HYD_FRN_SAGAR X ROAD_3QIS,Franchise,Bairamalguda,Hyderabad,Telangana,South,17.33808,78.543882
WMQISXM1V1-02313,SAGAR X ROAD_3QIS,HYD_FRN_SAGAR X ROAD_3QIS,Franchise,Bairamalguda,Hyderabad,Telangana,South,17.33808,78.543882
WMQISXM1V1-02314,SAGAR X ROAD_3QIS,HYD_FRN_SAGAR X ROAD_3QIS,Franchise,Bairamalguda,Hyderabad,Telangana,South,17.33808,78.543882
WMQISXM1V1-00974,Aarey,MUM_MMMOCL_Aarey,MMMOCL,Aarey,Mumbai,Maharashtra,West,19.168769,72.85843
WMQISXM1V1-02135,Aarey,MUM_MMMOCL_Aarey,MMMOCL,Aarey,Mumbai,Maharashtra,West,19.16877,72.85843
WMQISXM1V1-02128,Aarey,MUM_MMMOCL_Aarey,MMMOCL,Aarey,Mumbai,Maharashtra,West,19.16877,72.85843
WMQISXM1V1-02267,PUN_PVT_GHRPDI_SAMARTH,PUN_PVT_Ghorpadi_Samarth,Private,Ghorpadi,Pune,Maharashtra,West,18.51715,73.90733
WMQISXM1V1-02255,PUN_PVT_GHRPDI_SAMARTH,PUN_PVT_Ghorpadi_Samarth,Private,Ghorpadi,Pune,Maharashtra,West,18.51715,73.90733
WMQISXM1V1-02287,ADHOC-ASHOK SERVICE STATION FOR ASC,HYD_IOC_ADHOC_ASHOK_SERVICE_STATION_FOR_ASC,IOCL,ASCI BANJARA HILLS,Hyderabad,Telangana,South,17.427,78.4413
WMQISXM1V1-02276,ADHOC-ASHOK SERVICE STATION FOR ASC,HYD_IOC_ADHOC_ASHOK_SERVICE_STATION_FOR_ASC,IOCL,ASCI BANJARA HILLS,Hyderabad,Telangana,South,17.427,78.4413
WMQISXM1V1-02274,ADHOC-ASHOK SERVICE STATION FOR ASC,HYD_IOC_ADHOC_ASHOK_SERVICE_STATION_FOR_ASC,IOCL,ASCI BANJARA HILLS,Hyderabad,Telangana,South,17.427,78.4413
WMQISXM1V1-02315,CHINNASWAMY AMMANI TANEPETROLATUM,BLR_IOC_CHINNASWAMY AMMANI TANEPETROLATUM,IOCL,Kumarasamy Layout ,Bengaluru,Karnataka,South,12.90481,77.56125
WMQISXM1V1-00406,CHINNASWAMY AMMANI TANEPETROLATUM,BLR_IOC_CHINNASWAMY AMMANI TANEPETROLATUM,IOCL,Kumarasamy Layout ,Bengaluru,Karnataka,South,12.90481,77.56125
WMQISXM1V1-01367,Okhla Vihar,DEL_STQ_Okhla_Vihar,Statiq,Okhla Vihar,Delhi,Delhi,North,28.56048,77.29186
WMQISXM1V1-01368,Okhla Vihar,DEL_STQ_Okhla_Vihar,Statiq,Okhla Vihar,Delhi,Delhi,North,28.56048,77.29186
WMQISXM1V1-01369,Okhla Vihar,DEL_STQ_Okhla_Vihar,Statiq,Okhla Vihar,Delhi,Delhi,North,28.56048,77.29186
WMQISXM1V1-02303,Mandaveli Railway Station,CHE_IRS_Mandaveli_Railway_Station,Indian Railways,Mandaveli,Chennai,TamilNadu,South,13.02802,80.26049
WMQISXM1V1-02309,Mandaveli Railway Station,CHE_IRS_Mandaveli_Railway_Station,Indian Railways,Mandaveli,Chennai,TamilNadu,South,13.02802,80.26049
WMQISXM1V1-02292,Ramavarapaddu,VJD_IRS_Ramavarapaddu,Indian Railways,Ramavarapaddu,Vijayawada,Andhra Pradesh,South,16.52643,80.6807
WMQISXM1V1-02312,Ramavarapaddu,VJD_IRS_Ramavarapaddu,Indian Railways,Ramavarapaddu,Vijayawada,Andhra Pradesh,South,16.52643,80.6807
WMQISXM1V1-02154,MUM_ PVT_ Mulund W Jayantilal G Shah,MUM_PVT_Mulund(W)_Jayantilal_G_Shah,Private,Mulund,Mumbai,Maharashtra,West,19.18059,72.95588
WMQISXM1V1-02164,MUM_ PVT_ Mulund W Jayantilal G Shah,MUM_PVT_Mulund(W)_Jayantilal_G_Shah,Private,Mulund,Mumbai,Maharashtra,West,19.18059,72.95588
WMQISXM1V1-02165,MUM_ PVT_ Mulund W Jayantilal G Shah,MUM_PVT_Mulund(W)_Jayantilal_G_Shah,Private,Mulund,Mumbai,Maharashtra,West,19.18059,72.95588
WMQISXM1V1-02166,PUN_PVT_BLWDI_MANOJ - 2,PUN_PVT_Balewadi_Manoj-2,Private,Balewadi,Pune,Maharashtra,West,18.581425,73.766968
WMQISXM1V1-02204,PUN_PVT_BLWDI_MANOJ - 2,PUN_PVT_Balewadi_Manoj-2,Private,Balewadi,Pune,Maharashtra,West,18.581425,73.766968
WMQISXM1V1-02182,PUNE_PVT_HINJEWADI-3_BHUJBAL,PUN_PVT_Hinjewadi-3_Bhujbal,Private,Hinjewadi,Pune,Maharashtra,West,18.59231,73.75501
WMQISXM1V1-02243,PUNE_PVT_HINJEWADI-3_BHUJBAL,PUN_PVT_Hinjewadi-3_Bhujbal,Private,Hinjewadi,Pune,Maharashtra,West,18.59231,73.75501
WMQISXM1V1-02266,MUM_ PVT_Jogeshwari Vipul Loonawat,MUM_PVT_Jogeshwari_Vipul_Loonawat,Private,Jogeshwari,Mumbai,Maharashtra,West,19.140853,72.841255
WMQISXM1V1-02241,MUM_ PVT_Jogeshwari Vipul Loonawat,MUM_PVT_Jogeshwari_Vipul_Loonawat,Private,Jogeshwari,Mumbai,Maharashtra,West,19.140853,72.841255
WMQISXM1V1-02245,MUM_ PVT_Jogeshwari Vipul Loonawat,MUM_PVT_Jogeshwari_Vipul_Loonawat,Private,Jogeshwari,Mumbai,Maharashtra,West,19.140853,72.841255
WMQISXM1V1-02311,PUN_PVT_BLWDI_MANOJ - 1,PUN_PVT_Balewadi_Manoj_1,Private,Balewadi,Pune ,Maharashtra,West,18.574146,73.772751
WMQISXM1V1-02296,PUN_PVT_BLWDI_MANOJ - 1,PUN_PVT_Balewadi_Manoj_1,Private,Balewadi,Pune,Maharashtra,West,18.574146,73.772751
WMQISXM1V1-01383,VIRAT NAGAR,PNP_PVT_Virat_Nagar,Private,Virat Nagar phase 2,Panipat,HARYANA,North,29.386105,76.947172
WMQISXM1V1-01384,VIRAT NAGAR,PNP_PVT_Virat_Nagar,Private,Virat Nagar phase 2,Panipat,HARYANA,North,29.386105,76.947172
WMQISXM1V1-02163,PEDDITI RAGHUPATHI REDDY,HYD_IOC_Pedditi_Raghupathi_Reddy,IOCL, KOMPALLY,Hyderabad,Telangana,South,17.537,78.4896
WMQISXM1V1-02282,PEDDITI RAGHUPATHI REDDY,HYD_IOC_Pedditi_Raghupathi_Reddy,IOCL, KOMPALLY,Hyderabad,Telangana,South,17.537,78.4896
WMQISXM1V1-00270,PEDDITI RAGHUPATHI REDDY,HYD_IOC_Pedditi_Raghupathi_Reddy,IOCL, KOMPALLY,Hyderabad,Telangana,South,17.537,78.4896
WMQISXM1V1-01285,Community Center karkardooma,DEL_BYPL_Community_Centre_Karkardooma,BYPL MCD,Community Center karkardooma,Delhi,Delhi,North,28.64909,77.30185
WMQISXM1V1-01289,HARI OM FILLING STATION,PNP_IOC_Hari_Om_Filling_Station,IOCL,KHERI NANGAL,PaniPat,Haryana,North,29.35908,76.980578
WMQISXM1V1-01287,BATRA COLONY FUELS,PNP_IOC_Batra_Colony_Fuels,IOCL,MAIN ROAD BATRA COLONY,Panipat,HARYANA,North,29.399816,76.947071
WMQISXM1V1-01398,Shailen Tewathia,GGN_FRN_Shailen_Tewathia,Franchise,Sarai Alawardi,Gurugram,HARYANA,North,28.50402,77.01934
WMQISXM1V1-01286,Community Center karkardooma,DEL_BYPL_Community_Centre_Karkardooma,BYPL MCD,Community Center karkardooma,Delhi,Delhi,North,28.64909,77.30185
WMQISXM1V1-01290,HARI OM FILLING STATION,PNP_IOC_Hari_Om_Filling_Station,IOCL,KHERI NANGAL,PaniPat,Haryana,North,29.35908,76.980578
WMQISXM1V1-01288,BATRA COLONY FUELS,PNP_IOC_Batra_Colony_Fuels,IOCL,MAIN ROAD BATRA COLONY,Panipat,HARYANA,North,29.399816,76.947071
WMQISXM1V1-01399,Shailen Tewathia,GGN_FRN_Shailen_Tewathia,Franchise,Sarai Alawardi,Gurugram,HARYANA,North,28.50402,77.01934
WMQISXM1V1-01301,"Gohana Road, Anup","SNP_PVT_Gohana_Road, Anup",Private,Gohana Road,Sonipat,HARYANA,North,29.00302,76.993445
WMQISXM1V1-01302,"Gohana Road, Anup","SNP_PVT_Gohana_Road, Anup",Private,Gohana Road,Sonipat,HARYANA,North,29.00302,76.993445
WMQISXM1V1-01303,"Gohana Road, Anup","SNP_PVT_Gohana_Road, Anup",Private,Gohana Road,Sonipat,HARYANA,North,29.00302,76.993445
WMQISXM1V1-02261,BLR_FRN_AMRITHAHALLI_Mr. RAO​,BLR_FRN_AMRITHAHALLI_Mr. RAO​,Franchise,Amruthahalli,Bengaluru,Karnataka,South,13.069947,13.069947
WMQISXM1V1-02262,BLR_FRN_AMRITHAHALLI_Mr. RAO​,BLR_FRN_AMRITHAHALLI_Mr. RAO​,Franchise,Amruthahalli,Bengaluru,Karnataka,South,13.069947,13.069947
