QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-00928,BHARATHI RAGHAVA FUELS ADHOC,"VJD_IOC_BHARATHI RAGHAVA FUELS,Eluru Road",IOCL,Eluru Road,Vijayawada,Andhra,South,16.515867,80.638614
WMQISXM1V1-01134,Rakesh uppal,DEL_FRN_Rakesh uppal,Franchise,"Gali No.8, Uttam Nagar",Delhi,Delhi,North,28.61501,77.06516
WMQISXM1V1-01243,H R HIGHWAY FUELS,AGR_IOC_H R HIGHWAY FUELS,IOCL,Mohammadpur,Agra,UP,North,27.22122,77.92812
WMQISXM1V1-01226,K.B. ENTERPRISES Sonipat,"SNP_FRN_kabirpura Road,Vikaspuri",Franchise,KabirPur Road,Sonipat,HARYANA,North,28.980841,77.028886
WMQISXM1V1-01135,Rakesh uppal,DEL_FRN_Rakesh uppal,Franchise,"Gali No.8, Uttam Nagar",Delhi,Delhi,North,28.61501,77.06516
WMQISXM1V1-01136,Rakesh uppal,DEL_FRN_Rakesh uppal,Franchise,"Gali No.8, Uttam Nagar",Delhi,Delhi,North,28.61501,77.06516
WMQISXM1V1-01244,H R HIGHWAY FUELS,AGR_IOC_H R HIGHWAY FUELS,IOCL,Mohammadpur,Agra,UP,North,27.22122,77.92812
WMQISXM1V1-01227,K.B. ENTERPRISES Sonipat,"SNP_FRN_kabirpura Road,Vikaspuri",Franchise,KabirPur Road,Sonipat,HARYANA,North,28.980841,77.028886
WMQISXM1V1-00957,KAZHAKUTTAM Railway station,TVD_IRS_KAZHAKUTTAM Railway station,Indian Railways,Pallinada,Trivandrum,Kerala,South,8.557062435,76.87253892
WMQISXM1V1-00947,KAZHAKUTTAM Railway station,TVD_IRS_KAZHAKUTTAM Railway station,Indian Railways,Pallinada,Trivandrum,Kerala,South,8.557062435,76.87253892
WMQISXM1V1-00971,"Gowlidoddi, Gachibowli","HYD_PVT_Hub_Gowlidoddi, Gachibowli",Hub-Private,Gachibowli,Hyderabad,Telangana,South,17.432019,78.326241
WMQISXM1V1-00972,"Gowlidoddi, Gachibowli","HYD_PVT_Hub_Gowlidoddi, Gachibowli",Hub-Private,Gachibowli,Hyderabad,Telangana,South,17.432019,78.326241
WMQISXM1V1-00975,"Gowlidoddi, Gachibowli","HYD_PVT_Hub_Gowlidoddi, Gachibowli",Hub-Private,Gachibowli,Hyderabad,Telangana,South,17.432019,78.326241
