Name,No. of QIS,Latitude,Longitude,City
Sector 28,3,28.47355335,77.0849993,Gurgaon
Sector 72,3,28.42256,77.02192,Gurgaon
Sector 48,4,28.41767,77.03535,Gurgaon
South point mall,4,28.44852,77.096,Gurgaon
Sector 65,3,28.40291,77.07066,Gurgaon
Sector 86,4,28.39793,76.93846,Gurgaon
Sector 84,4,28.39735,76.97345,Gurgaon
Sector 36,4,28.4159,76.99089,Gurgaon
Sector 15,4,28.45971,77.04146,Gurgaon
Medicity,4,28.43801,77.04193,Gurgaon
Sector 20,4,28.51035,77.08531,Gurgaon
Sector 17 B,4,28.48068,77.06456,Gurgaon
Sector 69,4,28.39662,77.03481,Gurgaon
Sector 25,4,28.48464,77.08407,Gurgaon
Sector 29,4,28.46923,77.0674,Gurgaon
badalpur,2,28.59261,77.51706,Ghaziabad
Sector 12,2,28.6453,77.41177,Ghaziabad
Vijay Nagar + Pratap Vihar,2,28.65211,77.42109,Ghaziabad
Lal Kuan to New Bus stand,2,28.6429,77.45197,Ghaziabad
Lal Kuan to Dasna,2,28.66689,77.48139,Ghaziabad
Indirapuram,6,28.63986,77.36885,Ghaziabad
Dadri,3,28.55312,77.55636,Ghaziabad
LAL KUAN,3,28.63373,77.47369,Ghaziabad
Shalimar Garden,2,28.69152,77.33536,Ghaziabad
Vasundhara,4,28.66280819,77.37443048,Ghaziabad
Mohan Nagar,2,28.6731001,77.38581177,Ghaziabad
Shahibabad Industrial Area,4,28.66279323,77.33633106,Ghaziabad
Ashok Vatika,3,28.6965296,77.34992501,Ghaziabad
Raj Bhag,3,28.68008588,77.34592058,Ghaziabad
Gillco Park hills,2,30.72897,76.67362,Chandigarh
Shivalik city,2,30.72039,76.65065,Chandigarh
Sunny Enclave,2,30.75218,76.66154,Chandigarh
Kharar,2,30.76583,76.62556,Chandigarh
Phase 8 Mohali,2,30.71198,76.70854,Chandigarh
Jubilee Junction,2,30.67296,76.72735,Chandigarh
Sector 34,2,30.72166,76.76743,Chandigarh
Sector 17,2,30.74267,76.78742,Chandigarh
Sector 26,2,30.72996,76.8101,Chandigarh
Peer Muchalla,2,30.65877,76.8565,Chandigarh
Zirakpur Apple heights,2,30.63755,76.81407,Chandigarh
Dera Bassi,2,30.58709,76.84715,Chandigarh
Daddu Majra Colony,2,30.754,76.744,Chandigarh
Sohana,2,30.68788,76.70602,Chandigarh
Industrial Area Phase 1,2,30.7081,76.8111,Chandigarh
